Rank,Game,Month,Year,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio
179,Paladins,5,2021,908401,103476 hours,2953,273,13557,1222,139,8.78
180,Super Mario 64,5,2021,907907,34897 hours,21153,95,3861,1221,46,26.02
181,Madden NFL 21,5,2021,907097,153771 hours,26467,613,17630,1220,206,5.9
182,Diablo III,5,2021,898831,63632 hours,32712,195,6113,1209,85,14.13
183,SnowRunner,5,2021,893033,66243 hours,47446,304,6766,1201,89,13.48
184,The Forest,5,2021,873547,100922 hours,17302,305,17033,1175,135,8.66
185,Lineage 2,5,2021,871381,74982 hours,4814,214,2054,1172,100,11.62
186,The Last of Us Part II,5,2021,866804,69692 hours,44425,203,7432,1166,93,12.44
187,Halo: The Master Chief Collection,5,2021,861688,108035 hours,4788,380,13242,1159,145,7.98
188,Albion Online,5,2021,856273,54122 hours,4834,134,3252,1152,72,15.82
189,Forza Horizon 4,5,2021,848076,89976 hours,27233,276,14569,1141,121,9.43
190,Microsoft Flight Simulator,5,2021,845919,38938 hours,32663,124,3209,1138,52,21.72
191,Guild Wars 2,5,2021,845424,47360 hours,4383,143,3228,1137,63,17.85
192,Dying Light 2: Stay Human,5,2021,845106,756 hours,475556,338,375,1137,1,1117.87
193,Super Mario World,5,2021,844775,22857 hours,7107,82,2182,1136,30,36.96
194,Virtual Casino,5,2021,837244,9220 hours,11441,31,753,1126,12,90.81
195,Sekiro: Shadows Die Twice,5,2021,834527,49594 hours,19656,128,5636,1123,66,16.83
196,Detroit: Become Human,5,2021,831018,32823 hours,56330,112,5188,1118,44,25.32
197,The Elder Scrolls V: Skyrim,5,2021,828381,85645 hours,6923,210,9446,1114,115,9.67
198,FIFA Online 4,5,2021,814729,12079 hours,61452,54,1234,1096,16,67.45
199,Rogue Company,5,2021,813253,142933 hours,24500,414,16791,1094,192,5.69
200,Jackbox Party Packs,5,2021,806592,50789 hours,17806,276,12618,1085,68,15.88
